gps,is_promoted,hash,title,brand,address,category,rating,description,img,img_big,no_image,phone,email,facebook,url,count_reviews,photos
"{""latitude"":12.9228838889,""longitude"":108.263936944}",,879638910512710,Nhà nghỉ trọ,,"59, Hùng Vương, P. An Lạc, Thị xã Buôn Hồ, T. Đắk Lắk",Khách sạn và chỗ ở,0,,//poipic6.coccoc.com/80x80/poi/previews/20121112/p1_135268998414730b98bb45b1da0c9a52132fed9346a5e9.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20121112/p1_135268998414730b98bb45b1da0c9a52132fed9346a5e9.jpg,,(84-97) 8 627 059,,,,0,[]
"{""latitude"":14.74615479,""longitude"":109.02558899}",,15578343151672544,Nhà nghỉ Ngọc Giàu,,"Thôn Vĩnh An, Quốc lộ 1A, Xã Phổ Khánh, H. Đức Phổ, T. Quảng Ngãi",Khách sạn và chỗ ở,0,,//poipic1.coccoc.com/80x80/poi/previews/20180904/26037-0fb27d8f98d7314c26283cec08c44aab.jpg,//poipic4.coccoc.com/1000x750/poi/previews/20180904/26037-0fb27d8f98d7314c26283cec08c44aab.jpg,,(84-98) 6 952 024,,,,0,[]
"{""latitude"":13.5376152001,""longitude"":108.276400566}",,24581327831605686,Nhà nghỉ Phú Hải,,"Quốc lộ 25, Xã Ia Ake, H. Phú Thiện, T. Gia Lai",Khách sạn và chỗ ở,0,,//poipic1.coccoc.com/80x80/poi/previews/6.png,//poipic5.coccoc.com/1000x750/poi/previews/6.png,1,,,,,0,[]
"{""latitude"":14.1429323,""longitude"":108.595942}",,2957222636582080,Khách sạn Thạch Thảo Viên,,"Tt. KBang, H. KBang, T. Gia Lai",Khách sạn và chỗ ở,0,,//poipic1.coccoc.com/80x80/poi/previews/6.png,//poipic5.coccoc.com/1000x750/poi/previews/6.png,1,(84-59) 3 824 628,,,,0,[]
"{""latitude"":12.93466,""longitude"":108.2615}",,3681569471780571,Nhà nghỉ Thuỳ Dương,,"Hùng Vương, P. Đạt Hiếu, Thị xã Buôn Hồ, T. Đắk Lắk",Khách sạn và chỗ ở,0,,//poipic6.coccoc.com/80x80/poi/previews/20140606/p1_1402029863199601baf315fa3691bf96bea02296c11a8e.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20140606/p1_1402029863199601baf315fa3691bf96bea02296c11a8e.jpg,,,,,,0,[]
"{""latitude"":14.75751877,""longitude"":109.0016861}",,20470367731672879,Motel Tường Vy,,"Thôn Thủy Thạch, Quốc lộ 1A, Xã Phổ Cường, H. Đức Phổ, T. Quảng Ngãi",Khách sạn và chỗ ở,0,,//poipic2.coccoc.com/80x80/poi/previews/20180904/26081-b41173f744040c5cfab8192e44bc8583.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20180904/26081-b41173f744040c5cfab8192e44bc8583.jpg,,(84-255) 3 971 224,,,,0,[]
"{""latitude"":14.75806046,""longitude"":109.00049591}",,26552564451672479,Nhà nghỉ 2009,,"Thôn Nga Mân, Quốc lộ 1A, Xã Phổ Cường, H. Đức Phổ, T. Quảng Ngãi",Khách sạn và chỗ ở,0,,//poipic4.coccoc.com/80x80/poi/previews/20180904/26037-6998cd43970efead8f0d1dc0ce7f3941.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20180904/26037-6998cd43970efead8f0d1dc0ce7f3941.jpg,,(84-168) 3 660 508,,,,0,[]
"{""latitude"":14.76034641,""longitude"":108.99714661}",,4699911611672885,Nhà nghỉ 79,,"Quốc lộ 1A, Xã Phổ Cường, H. Đức Phổ, T. Quảng Ngãi",Khách sạn và chỗ ở,0,,//poipic6.coccoc.com/80x80/poi/previews/20180904/26081-8f0d5cb4ae7880c47fc8708bf48b7b0d.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20180904/26081-8f0d5cb4ae7880c47fc8708bf48b7b0d.jpg,,,,,,0,[]
"{""latitude"":14.16228,""longitude"":109.1284}",,2211401201993940,Nhà nghỉ Đồng Quê,,"Xã Mỹ Chánh, H. Phù Mỹ, T. Bình Định",Khách sạn và chỗ ở,0,,//poipic1.coccoc.com/80x80/poi/previews/6.png,//poipic5.coccoc.com/1000x750/poi/previews/6.png,1,,,,,0,[]
"{""latitude"":12.953705916,""longitude"":108.247261047}",,32708919501407523,Khách sạn Sao Mai,,"Xã Pơng Drang, H. Krông Búk, T. Đắk Lắk",Khách sạn và chỗ ở,0,,//poipic1.coccoc.com/80x80/poi/previews/6.png,//poipic5.coccoc.com/1000x750/poi/previews/6.png,1,,,,,0,[]
"{""latitude"":14.77013969,""longitude"":108.98138428}",,6818178191585192,Nhà nghỉ Thanh Thủy,,"Phạm Xuân Hòa, Xã Phổ Cường, H. Đức Phổ, T. Quảng Ngãi",Khách sạn và chỗ ở,0,,//poipic4.coccoc.com/80x80/poi/previews/20180831/26054-4c6121ab56bcc04ad82510001d79d00f.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20180831/26054-4c6121ab56bcc04ad82510001d79d00f.jpg,,(84-255) 3 970 430,,,,0,[]
"{""latitude"":14.1679575,""longitude"":109.049141111}",,667985671530149,Nhà nghỉ Mỹ Lệ,,"658, Quang Trung, Tt. Phù Mỹ, H. Phù Mỹ, T. Bình Định",Khách sạn và chỗ ở,0,,//poipic2.coccoc.com/80x80/poi/previews/20121123/p1_13536562225907a7797fea69ca1869114a6fb44d279472.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20121123/p1_13536562225907a7797fea69ca1869114a6fb44d279472.jpg,,,,,,0,[]
"{""latitude"":14.1693033333,""longitude"":109.0494175}",,95771108530052,Nhà trọ Thanh Nga,,"351, Quang Trung, Tt. Phù Mỹ, H. Phù Mỹ, T. Bình Định",Khách sạn và chỗ ở,0,,//poipic2.coccoc.com/80x80/poi/previews/20121123/p1_1353656103695723b1cc113d8cc6fce7c6fb066eaba971.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20121123/p1_1353656103695723b1cc113d8cc6fce7c6fb066eaba971.jpg,,(84-56) 3 855 240,,,,0,[]
"{""latitude"":13.562894,""longitude"":109.245537}",,40508741651351366,"Nhà hàng, nhà nghỉ Bãi Tiên",,"Km 1263, Xã Xuân Cảnh, Thị xã Sông Cầu, T. Phú Yên",Nhà hàng,5,,//poipic6.coccoc.com/80x80/poi/previews/20160822/p1_1471840316946262df93d83ba0ec29ac8a79492caecb13.jpg,//poipic4.coccoc.com/1000x750/poi/previews/20160822/p1_1471840316946262df93d83ba0ec29ac8a79492caecb13.jpg,,,,,,1,[]
"{""latitude"":14.1708279167,""longitude"":109.049939722}",,30518180451393672,Nhà nghỉ Thiên Nga,,"58, Quang Trung, Tt. Phù Mỹ, H. Phù Mỹ, T. Bình Định",Khách sạn và chỗ ở,0,,//poipic1.coccoc.com/80x80/poi/previews/6.png,//poipic5.coccoc.com/1000x750/poi/previews/6.png,1,,,,,0,[]
"{""latitude"":14.77857208,""longitude"":108.97166443}",,3478882681513082,Nhà nghỉ Thiên Lý,,"Phạm Xuân Hòa, Xã Phổ Cường, H. Đức Phổ, T. Quảng Ngãi",Khách sạn và chỗ ở,0,,//poipic4.coccoc.com/80x80/poi/previews/20180319/22222-a2eab338db38706b9575cf7779ba2515.jpg,//poipic.coccoc.com/1000x750/poi/previews/20180319/22222-a2eab338db38706b9575cf7779ba2515.jpg,,,,,,0,[]
"{""latitude"":12.359559,""longitude"":109.276714}",,2850477204575150,Six Senses Ninh Van Bay,Six Senses Hotel,"Xã Ninh Vân, Thị xã Ninh Hòa, T. Khánh Hòa",Khách sạn và chỗ ở,0,,//poipic1.coccoc.com/80x80/poi/previews/20151210/p1_144974384104917bc8c659fbe2c9a1e27d8336ced5b5cf.jpg,//poipic1.coccoc.com/1000x750/poi/previews/20151210/p1_144974384104917bc8c659fbe2c9a1e27d8336ced5b5cf.jpg,,(84-58) 3 524 268,,http://facebook.com/SixSenses,http://sixsenses.com/,0,[]
